Emp ID,Name,Gender,Department,Salary,Salary Bucket,Start Date,Employee type,Work location,Work Type
Pr03804,Sartaj,Male,Legal,66573.0,50K To 100K,2020-12-28,Permanent,Chennai,Full Time
Pr03844,Brose,Female,Human,35944.0,Under 50K,2020-09-04,Permanent,Columbus,Full Time
Pr03886,Edd,Male,Accounting,119022.0,Above 100K,2021-08-23,Permanent,Auckland,Full Time
Pr03980,Kath,Male,Marketing,65699.0,50K To 100K,2020-04-30,Permanent,Columbus,Full Time
Pr04366,Carry,Female,Sales,47552.0,Under 50K,2019-01-03,Permanent,Auckland,Full Time
Pr04380,Van,Female,Business,80696.0,50K To 100K,2019-11-18,Permanent,Columbus,Part Time
Pr04446,Sameer,Female,Research,92336.0,50K To 100K,2021-08-23,Permanent,Hyderabad,Full Time
Pr04473,Wyn,Female,Business,69193.0,50K To 100K,2021-04-19,Permanent,Columbus,Full Time
Pr04601,Yedukondalu,Bisexual,Support,104803.0,Above 100K,2021-11-02,Permanent,Hyderabad,Full Time
Pr04686,Oona,Female,Business,98000.0,50K To 100K,2019-09-02,Permanent,Seattle,Part Time
Pr04851,Rodina,Female,Sales,77045.0,50K To 100K,2019-06-20,Permanent,Remote,Full Time
Sq00022,Carlin,Male,Business,110042.0,Above 100K,2020-03-24,Permanent,Columbus,Full Time
Sq00070,Larissa,Male,Research,62281.0,50K To 100K,2018-06-21,Permanent,Remote,Full Time
Sq00105,Sarayu,Female,Training,86011.0,50K To 100K,2018-03-05,Permanent,Chennai,Full Time
Sq00144,Collen,Male,Engineering,118976.0,Above 100K,2020-10-16,Permanent,Wellington,Full Time
Sq00187,Rupak,Female,Services,71229.0,50K To 100K,2020-12-01,Permanent,Hyderabad,Full Time
Sq00286,Ilesh,Female,Legal,61213.0,50K To 100K,2021-06-18,Permanent,Chennai,Full Time
Sq00360,Orlando,Male,Marketing,40754.0,Under 50K,2018-02-21,Permanent,Wellington,Part Time
Sq00450,Louise,Female,Sales,41935.0,Under 50K,2020-04-22,Permanent,Remote,Full Time
Sq00498,Amery,Female,Legal,111050.0,Above 100K,2021-07-16,Permanent,Wellington,Full Time
Sq00612,Leena,Male,Research,74279.0,50K To 100K,2019-01-01,Permanent,Wellington,Full Time
Sq00691,Verla,Male,Support,54137.0,50K To 100K,2019-10-25,Permanent,Remote,Full Time
Sq00841,Bhuvan,Female,Services,89690.0,50K To 100K,2018-04-23,Permanent,Hyderabad,Full Time
Sq00914,Duran,Female,Product,38438.0,Under 50K,2020-05-11,Permanent,Chennai,Full Time
Sq00914,Karuna,Female,Product,38438.0,Under 50K,2020-05-11,Permanent,Chennai,Full Time
Sq00960,Calvin,Female,Research,44447.0,Under 50K,2020-01-16,Permanent,Seattle,Part Time
Sq01026,Anumati,Male,Product,74925.0,50K To 100K,2021-02-12,Permanent,Hyderabad,Full Time
Sq01177,Nazeer,Male,Human,86557.0,50K To 100K,2020-09-30,Permanent,Hyderabad,Full Time
Sq01283,Barr,Female,Marketing,68009.0,50K To 100K,2020-08-19,Permanent,Auckland,Full Time
Sq01395,Dennison,Male,Legal,90698.0,50K To 100K,2021-01-25,Permanent,Seattle,Part Time
Sq01402,Sahaj,Female,Engineering,44404.0,Under 50K,2018-11-12,Permanent,Hyderabad,Full Time
Sq01519,Caron,Male,Accounting,49915.0,Under 50K,2019-03-26,Permanent,Remote,Full Time
Sq01620,Westbrook,Male,Legal,113616.0,Above 100K,2018-06-04,Permanent,Remote,Full Time
Sq01637,Joaquin,Male,Sales,68860.0,50K To 100K,2019-02-12,Permanent,Columbus,Part Time
Sq01697,Makshi,Male,Business,71371.0,50K To 100K,2018-10-19,Permanent,Hyderabad,Full Time
Sq01730,Austine,Female,Services,32270.0,Under 50K,2018-09-03,Permanent,Remote,Full Time
Sq01829,Mabel,Male,Product,31241.0,Under 50K,2019-09-17,Permanent,Remote,Full Time
Sq01854,Jessica,Female,Marketing,66017.0,50K To 100K,2019-06-27,Permanent,Remote,Part Time
Sq01998,Vanmala,Male,Product,40445.0,Under 50K,2021-07-16,Permanent,Chennai,Full Time
Sq01998,Sahas,Male,Product,40445.0,Under 50K,2021-07-16,Permanent,Chennai,Full Time
Sq02035,Anni,Male,Human,103495.0,Above 100K,2018-06-05,Permanent,Remote,Full Time
Sq02174,Sidoney,Female,Engineering,118443.0,Above 100K,2020-12-28,Permanent,Auckland,Full Time
Sq02223,Pippy,Female,Accounting,44845.0,Under 50K,2018-06-26,Permanent,Seattle,Full Time
Sq02246,Matias,Male,Research,85456.0,50K To 100K,2020-01-09,Permanent,Wellington,Full Time
Sq02371,Alida,Male,Human,69862.0,50K To 100K,2018-12-24,Permanent,Wellington,Full Time
Sq02424,Kevalkumar,Male,Accounting,52270.0,50K To 100K,2019-02-25,Permanent,Chennai,Part Time
Sq02465,Bernie,Female,Training,99966.0,50K To 100K,2018-02-02,Permanent,Remote,Full Time
Sq02525,Mickie,Male,Engineering,50856.0,50K To 100K,2021-01-25,Permanent,Wellington,Full Time
Sq02559,Aldrich,Male,Business,90884.0,50K To 100K,2019-12-27,Permanent,Columbus,Full Time
Sq02565,Konstantin,Female,Training,56254.0,50K To 100K,2021-08-13,Permanent,Auckland,Full Time
Sq02582,Kaishori,Female,Product,51798.0,50K To 100K,2019-07-19,Permanent,Hyderabad,Full Time
Sq02624,Gwenneth,Female,Engineering,114772.0,Above 100K,2021-02-24,Permanent,Columbus,Full Time
Sq02638,Cara,Male,Marketing,89605.0,50K To 100K,2018-06-07,Permanent,Seattle,Full Time
Sq02643,Indu,Female,Engineering,88425.0,50K To 100K,2019-07-16,Permanent,Hyderabad,Full Time
Sq02703,Deepit,Female,Marketing,104904.0,Above 100K,2019-07-03,Permanent,Chennai,Full Time
Sq03024,Inge,Female,Services,69057.0,50K To 100K,2018-10-17,Permanent,Wellington,Full Time
Sq03112,Kantimoy,Male,Product,77743.0,50K To 100K,2020-03-30,Permanent,Chennai,Full Time
Sq03116,Syd,Male,Engineering,108873.0,Above 100K,2019-02-25,Permanent,Remote,Full Time
Sq03321,Gradey,Female,Accounting,68888.0,50K To 100K,2018-07-16,Permanent,Remote,Full Time
Sq03350,Felice,Female,Product,66865.0,50K To 100K,2019-02-18,Permanent,Seattle,Full Time
Sq03387,Robinia,Female,Human,100732.0,Above 100K,2020-04-15,Permanent,Auckland,Full Time
Sq03476,Ramalingam,Bisexual,Accounting,107108.0,Above 100K,2018-08-13,Permanent,Chennai,Part Time
Sq03491,Freda,Female,Sales,102129.0,Above 100K,2021-07-19,Permanent,Columbus,Full Time
Sq03546,Amlankusum,Female,Legal,75734.0,50K To 100K,2021-07-05,Permanent,Hyderabad,Full Time
Sq03625,Fidela,Female,Sales,78020.0,50K To 100K,2020-03-09,Permanent,Remote,Full Time
Sq03626,Krishnakanta,Female,Training,95678.0,50K To 100K,2021-07-19,Permanent,Chennai,Part Time
Sq03733,Revkah,Male,Engineering,109143.0,Above 100K,2020-04-24,Permanent,Wellington,Full Time
Sq04437,Hephzibah,Female,Services,28305.0,Under 50K,2019-10-16,Permanent,Remote,Full Time
Sq04488,Ramnath,Male,Marketing,76933.0,50K To 100K,2019-01-28,Permanent,Hyderabad,Full Time
Sq04598,Pearla,Male,Services,69913.0,50K To 100K,2019-04-29,Permanent,Remote,Full Time
Sq04603,Natalee,Male,Product,111229.0,Above 100K,2018-10-29,Permanent,Remote,Full Time
Sq04612,Mick,Female,Services,120000.0,Above 100K,2020-03-12,Permanent,Remote,Part Time
Sq04613,Sarojini,Female,Human,85264.0,50K To 100K,2018-04-30,Permanent,Chennai,Full Time
Sq04665,Collin,Male,Services,100424.0,Above 100K,2019-12-02,Permanent,Auckland,Full Time
Sq04960,Shubhra,Female,Support,71925.0,50K To 100K,2019-12-23,Permanent,Chennai,Full Time
Tn00083,Chandana,Female,Business,61689.0,50K To 100K,2018-09-03,Permanent,Chennai,Part Time
Tn00182,Camilla,Female,Product,75476.0,50K To 100K,2019-11-25,Permanent,Remote,Full Time
Tn00214,Devsena,Female,Training,37902.0,Under 50K,2019-12-24,Permanent,Chennai,Full Time
Tn00214,Hemavati,Female,Training,37902.0,Under 50K,2019-12-24,Permanent,Chennai,Full Time
Tn00227,Raghuveer,Female,Support,63556.0,50K To 100K,2020-11-24,Permanent,Chennai,Full Time
Tn00258,Joyce,Female,Product,68198.0,50K To 100K,2020-10-15,Permanent,Auckland,Full Time
Tn00328,Jeannie,Female,Engineering,94815.0,50K To 100K,2018-12-06,Permanent,Seattle,Full Time
Tn00464,Gopal,Male,Research,52749.0,50K To 100K,2020-01-27,Permanent,Chennai,Full Time
Tn00579,Rafaelita,Female,Services,109163.0,Above 100K,2020-07-07,Permanent,Seattle,Part Time
Tn00698,Barbara-Anne,Female,Support,88035.0,50K To 100K,2019-07-23,Permanent,Remote,Full Time
Tn00727,Dulsea,Female,Services,42162.0,Under 50K,2019-01-29,Permanent,Auckland,Full Time
Tn00735,Caresa,Male,Support,59258.0,50K To 100K,2018-12-18,Permanent,Seattle,Part Time
Tn00890,Mayur,Female,Training,71571.0,50K To 100K,2021-02-22,Permanent,Hyderabad,Part Time
Tn01028,Alicea,Male,Accounting,67634.0,50K To 100K,2018-08-28,Permanent,Columbus,Full Time
Tn01210,Alyosha,Male,Legal,89839.0,50K To 100K,2019-05-17,Permanent,Remote,Full Time
Tn01256,Shattesh,Male,Legal,28481.0,Under 50K,2020-03-26,Permanent,Hyderabad,Full Time
Tn01256,Sawini,Male,Legal,28481.0,Under 50K,2020-03-26,Permanent,Hyderabad,Full Time
Tn01281,Cletus,Female,Engineering,114425.0,Above 100K,2020-01-27,Permanent,Wellington,Full Time
Tn01340,Granny,Male,Legal,99461.0,50K To 100K,2020-05-05,Permanent,Remote,Full Time
Tn01396,Koral,Male,Support,30077.0,Under 50K,2019-01-09,Permanent,Wellington,Full Time
Tn01566,Fonzie,Male,Product,80360.0,50K To 100K,2020-12-02,Permanent,Remote,Full Time
Tn01601,Melva,Female,Product,68795.0,50K To 100K,2021-03-22,Permanent,Remote,Part Time
Tn01632,Katya,Male,Business,88511.0,50K To 100K,2020-04-29,Permanent,Columbus,Full Time
Tn01701,Yves,Male,Accounting,57926.0,50K To 100K,2019-04-17,Permanent,Wellington,Part Time
Tn01876,Aileen,Male,Business,80169.0,50K To 100K,2020-08-10,Permanent,Auckland,Full Time
Tn01912,Fred,Male,Services,88689.0,50K To 100K,2019-10-02,Permanent,Seattle,Full Time
Tn02204,Aldrich,Male,Business,90884.0,50K To 100K,2020-07-27,Permanent,Columbus,Part Time
Tn02205,Madhumati,Male,Research,69710.0,50K To 100K,2019-01-07,Permanent,Hyderabad,Full Time
Tn02377,Anjela,Bisexual,Accounting,98013.0,50K To 100K,2019-11-11,Permanent,Remote,Full Time
Tn02397,Mendel,Male,Human,28330.0,Under 50K,2018-10-29,Permanent,Seattle,Full Time
Tn02496,Ponnan,Bisexual,Human,67958.0,50K To 100K,2018-11-26,Permanent,Chennai,Full Time
Tn02570,Grady,Female,Accounting,69163.0,50K To 100K,2018-10-24,Permanent,Remote,Full Time
Tn02674,Antonetta,Male,Sales,96754.0,50K To 100K,2021-10-25,Permanent,Auckland,Full Time
Tn02727,Wald,Female,Support,28974.0,Under 50K,2019-09-25,Permanent,Auckland,Full Time
Tn02749,Parasuramudu,Female,Training,57002.0,50K To 100K,2018-04-02,Permanent,Hyderabad,Part Time
Tn02798,Krittika,Female,Business,33031.0,Under 50K,2019-01-03,Permanent,Hyderabad,Part Time
Tn02883,John,Female,Sales,84763.0,50K To 100K,2018-08-20,Permanent,Hyderabad,Full Time
Tn02988,Mahindra,Male,Engineering,92944.0,50K To 100K,2021-11-10,Permanent,Hyderabad,Full Time
Tn03032,Jaipal,Female,Research,39701.0,Under 50K,2021-01-07,Permanent,Chennai,Part Time
Tn03032,Fullara,Female,Research,39701.0,Under 50K,2021-01-07,Permanent,Chennai,Part Time
Tn03068,Gumwant,Male,Business,39784.0,Under 50K,2018-12-31,Fixed Term,Chennai,Full Time
Tn03097,Bendite,Male,Marketing,31817.0,Under 50K,2019-02-01,Fixed Term,Remote,Part Time
Tn03169,Doe,Female,Product,67818.0,50K To 100K,2018-11-02,Fixed Term,Remote,Part Time
Tn03210,Suman,Male,Training,79568.0,50K To 100K,2018-06-21,Fixed Term,Chennai,Full Time
Tn03331,Crawford,Male,Human,72877.0,50K To 100K,2019-05-27,Fixed Term,Auckland,Part Time
Tn03355,Ruby,Male,Research,78706.0,50K To 100K,2018-11-05,Fixed Term,Seattle,Full Time
Tn03416,Seward,Male,Engineering,43329.0,Under 50K,2019-12-10,Fixed Term,Remote,Part Time
Tn03575,Janina,Female,Research,99684.0,50K To 100K,2019-02-04,Fixed Term,Seattle,Full Time
Tn04058,Subbarao,Male,Product,106775.0,Above 100K,2019-04-08,Fixed Term,Hyderabad,Full Time
Tn04058,Vasu,Male,Product,106775.0,Above 100K,2019-04-08,Fixed Term,Hyderabad,Full Time
Tn04067,Lea,Female,Human,73489.0,50K To 100K,2019-04-15,Fixed Term,Seattle,Full Time
Tn04101,Marline,Male,Legal,72843.0,50K To 100K,2018-06-29,Fixed Term,Wellington,Full Time
Tn04166,Tadio,Female,Product,91930.0,50K To 100K,2020-09-11,Fixed Term,Remote,Full Time
Tn04175,Hinda,Female,Human,92704.0,50K To 100K,2018-11-26,Fixed Term,Columbus,Full Time
Tn04246,Shaylyn,Female,Support,100371.0,Above 100K,2020-08-24,Fixed Term,Auckland,Part Time
Tn04265,Rushil,Female,Training,93964.0,50K To 100K,2021-09-15,Fixed Term,Hyderabad,Part Time
Tn04428,Tadio,Bisexual,Human,99449.0,50K To 100K,2019-01-08,Fixed Term,Wellington,Full Time
Tn04660,Thedrick,Male,Business,69764.0,50K To 100K,2020-12-30,Fixed Term,Seattle,Full Time
Tn04740,Tristam,Female,Support,104039.0,Above 100K,2019-12-16,Fixed Term,Remote,Full Time
Tn04775,Hridaynath,Female,Legal,31089.0,Under 50K,2019-11-07,Fixed Term,Chennai,Full Time
Tn04892,Luca,Male,Engineering,53184.0,50K To 100K,2018-03-21,Fixed Term,Remote,Full Time
Vt00194,Violante,Female,Product,49626.0,Under 50K,2021-07-07,Fixed Term,Remote,Part Time
Vt00336,Shevantilal,Male,Services,47647.0,Under 50K,2019-11-22,Fixed Term,Chennai,Part Time
Vt00476,Adolph,Male,Product,89961.0,50K To 100K,2019-02-19,Fixed Term,Auckland,Full Time
Vt00534,Roselle,Male,Sales,91315.0,50K To 100K,2020-04-10,Fixed Term,Seattle,Full Time
Vt00578,Magnum,Female,Services,42314.0,Under 50K,2021-10-18,Fixed Term,Remote,Full Time
Vt00596,Letisha,Female,Sales,84599.0,50K To 100K,2020-10-12,Fixed Term,Seattle,Full Time
Vt00687,Godavari,Male,Engineering,78444.0,50K To 100K,2019-05-14,Fixed Term,Hyderabad,Full Time
Vt00740,Chitrasen,Female,Research,46752.0,Under 50K,2020-01-13,Fixed Term,Hyderabad,Full Time
Vt01092,Tabby,Male,Accounting,57419.0,50K To 100K,2018-07-24,Fixed Term,Auckland,Full Time
Vt01101,Adela,Male,Support,95017.0,50K To 100K,2018-07-02,Fixed Term,Seattle,Full Time
Vt01246,Zach,Male,Marketing,53536.0,50K To 100K,2020-10-06,Fixed Term,Seattle,Part Time
Vt01249,Brendan,Female,Legal,31043.0,Under 50K,2021-10-04,Fixed Term,Remote,Part Time
Vt01323,Mardav,Female,Business,86234.0,50K To 100K,2019-08-29,Fixed Term,Chennai,Full Time
Vt01523,Charmane,Female,Business,86559.0,50K To 100K,2020-02-26,Fixed Term,Remote,Full Time
Vt01610,Dhruv,Female,Accounting,76304.0,50K To 100K,2018-12-24,Fixed Term,Hyderabad,Full Time
Vt01610,Kunja,Female,Accounting,76304.0,50K To 100K,2018-12-24,Fixed Term,Hyderabad,Full Time
Vt01684,Audry,Female,Training,101187.0,Above 100K,2018-06-07,Fixed Term,Columbus,Full Time
Vt01703,Upendra,Male,Engineering,61625.0,50K To 100K,2018-11-26,Fixed Term,Hyderabad,Part Time
Vt01740,Ginger,Female,Services,31173.0,Under 50K,2019-07-19,Fixed Term,Remote,Full Time
Vt01762,Geena,Male,Accounting,102516.0,Above 100K,2020-03-12,Fixed Term,Chennai,Full Time
Vt01803,Freddy,Female,Training,93128.0,50K To 100K,2018-03-05,Fixed Term,Seattle,Full Time
Vt01893,Lindy,Male,Training,112778.0,Above 100K,2018-05-30,Fixed Term,Remote,Full Time
Vt01996,Hali,Male,Human,65569.0,50K To 100K,2018-07-12,Fixed Term,Auckland,Full Time
Vt02118,Oorjit,Female,Engineering,51165.0,50K To 100K,2021-02-10,Fixed Term,Hyderabad,Full Time
Vt02260,Rhiamon,Female,Research,59434.0,50K To 100K,2020-04-10,Temporary,Seattle,Full Time
Vt02313,Thekla,Male,Training,53949.0,50K To 100K,2019-12-09,Temporary,Columbus,Full Time
Vt02319,Tarala,Female,Research,96556.0,50K To 100K,2019-01-24,Temporary,Hyderabad,Part Time
Vt02374,Delphine,Female,Accounting,71824.0,50K To 100K,2018-10-01,Temporary,Remote,Part Time
Vt02417,Evangelina,Male,Support,61214.0,50K To 100K,2018-03-12,Temporary,Auckland,Full Time
Vt02491,Alexis,Male,Engineering,114466.0,Above 100K,2018-07-10,Temporary,Wellington,Full Time
Vt02532,Adey,Female,Legal,32497.0,Under 50K,2018-05-14,Temporary,Remote,Full Time
Vt02539,Devinne,Male,Engineering,39970.0,Under 50K,2018-12-10,Temporary,Columbus,Full Time
Vt02663,Sravanthi,Male,Legal,28481.0,Under 50K,2021-02-01,Temporary,Chennai,Full Time
Vt02801,Shellysheldon,Male,Training,114691.0,Above 100K,2020-07-27,Temporary,Wellington,Full Time
Vt03298,Nonah,Male,Engineering,82240.0,50K To 100K,2020-01-16,Temporary,Columbus,Full Time
Vt03307,Tallie,Male,Sales,83192.0,50K To 100K,2019-08-23,Temporary,Remote,Part Time
Vt03421,Alic,Male,Legal,113748.0,Above 100K,2021-03-15,Temporary,Columbus,Part Time
Vt03500,Shiuli,Male,Support,37062.0,Under 50K,2021-06-10,Temporary,Chennai,Full Time
Vt03537,Renaldo,Male,Business,73360.0,50K To 100K,2020-05-21,Temporary,Remote,Full Time
Vt03552,Kamalakshi,Male,Engineering,36536.0,Under 50K,2021-06-11,Temporary,Hyderabad,Full Time
Vt03701,Narois,Female,Product,89829.0,50K To 100K,2019-11-25,Temporary,Chennai,Full Time
Vt03704,Egor,Bisexual,Legal,63447.0,50K To 100K,2020-11-13,Temporary,Wellington,Full Time
Vt03771,Marjie,Male,Sales,80773.0,50K To 100K,2020-11-02,Temporary,Remote,Full Time
Vt03849,Leonidas,Male,Accounting,52246.0,50K To 100K,2019-04-18,Temporary,Wellington,Full Time
Vt03988,Venkat,Female,Support,58936.0,50K To 100K,2019-09-09,Temporary,Hyderabad,Full Time
Vt03993,Dulce,Male,Human,83396.0,50K To 100K,2021-03-30,Temporary,Auckland,Full Time
Vt04028,Michale,Male,Services,111815.0,Above 100K,2020-03-05,Temporary,Remote,Part Time
Vt04093,Prasanna,Female,Training,116768.0,Above 100K,2020-04-28,Temporary,Chennai,Part Time
Vt04093,Baruna,Female,Training,116768.0,Above 100K,2020-04-28,Temporary,Chennai,Part Time
Vt04137,Marissa,Bisexual,Training,78840.0,50K To 100K,2019-06-17,Temporary,Remote,Full Time
Vt04273,Brad,Male,Accounting,38825.0,Under 50K,2019-08-19,Temporary,Remote,Full Time
Vt04350,Kulbhushan,Male,Business,106400.0,Above 100K,2020-07-09,Temporary,Chennai,Full Time
Vt04350,Lalit,Male,Business,106400.0,Above 100K,2020-07-09,Temporary,Chennai,Full Time
Vt04373,Edi,Male,Research,28161.0,Under 50K,2018-01-29,Temporary,Remote,Full Time
Vt04415,Malory,Female,Training,58744.0,50K To 100K,2018-03-12,Temporary,Columbus,Full Time
Vt04467,Amal,Female,Marketing,70756.0,50K To 100K,2020-09-16,Temporary,Hyderabad,Part Time
Vt04552,Theresita,Female,Product,106666.0,Above 100K,2018-07-30,Temporary,Columbus,Full Time
Vt04627,Yvette,Male,Human,76320.0,50K To 100K,2021-07-06,Temporary,Remote,Part Time
Vt04681,Nickolai,Female,Product,110906.0,Above 100K,2018-11-30,Temporary,Wellington,Full Time
Vt04905,Suchira,Female,Human,29808.0,Under 50K,2018-07-10,Temporary,Hyderabad,Part Time
Vt04984,Dell,Male,Engineering,47363.0,Under 50K,2020-05-22,Temporary,Remote,Full Time
