teachers name,teachers salary
Donald Garza,36
James Sanders,36
Jesse Sullivan,57
Virginia Meyer,57
Sandra Collins,85
Andrew Patterson,6
Matthew Friedman,0
Benjamin Ellis,11
Debra Wilson,65
Anthony Yang,14
Thomas Stephens,75
Bonnie Miller,58
Tanya Johnson,37
Amanda Jackson,35
Joseph Peterson,90
Anthony Myers,37
Kristy Mitchell,48
Robin Thomas,36
Paula Rivers,27
Christopher Brandt,55
Robert Blevins,12
Scott Barry,34
Janet Brady,97
Jennifer Larson,3
Brittany Gomez,11
Kenneth Armstrong,78
Eric Salas,34
Erin Diaz Dds,33
Timothy Villa,23
David Velazquez,74
Brittany Parrish,90
Amber Patel,84
Jill Mendoza,89
Christopher Mitchell,26
Brad Wright,58
Catherine Holmes,42
Holly Cook,79
Donald Jarvis,49
Adam Heath,88
Brendan Gould,59
Erik Greer,48
Lindsay Rodriguez,30
Scott House,19
Tamara Maxwell,45
Charles Eaton,62
Nicole Pope,84
Evan Simmons,15
Sandra Gonzales,1
Mary Thompson,2
Jessica Freeman,3
Joseph Thompson,4
Frank Gutierrez,5
Scott Thompson,6
Beverly Hill,7
Linda Jefferson,8
Richard Roberts,9
Jessica Reed,10
David Morgan,11
Alison Martin,12
Darius Hall,13
Deborah Turner,14
James Logan,15
Joshua Bishop,16
Victoria Alvarez,17
Gordon Thornton,18
Christine Taylor,19
Sarah Carroll,20
Andrew Thomas,21
Andrea Porter,22
Dr. Matthew Stark,23
George Torres,24
Caitlin Griffith,25
Marco Garcia,26
John Sullivan,27
Heather Perez,28
Christine Moore,29
Harry Evans,30
Cory Weiss,31
Katelyn Leonard,32
Amy Miller,33
Erica Clark,34
Tamara Clark,35
Thomas Harrington,36
Katelyn Brown,37
Kristen Flores,38
Tony Snow,39
Jill Duke,40
Sue Hoffman,41
Brittany Roberts,42
Jill Thomas,43
Lindsey Williams,44
Gina Mitchell,45
Haley Davidson,46
Ashley Sanchez Dvm,47
Alicia Nelson,48
Mr. Michael Chambers,49
Gina Gibson,50
Edgar Thompson,51
Curtis Martinez,52
Alicia Coffey,53
David Garcia,54
Gloria Tapia,55
Carol Rice,56
Abigail Cruz,57
Robert Yu,58
Mark Harris,59
Brian Gates,60
Kayla Williams,61
Eric Willis,62
David Johnson,63
Susan Dalton,64
Dana Turner,65
Richard Haney,66
Spencer Ingram,67
Renee Martinez,68
Tracy Hernandez,69
Elizabeth Jennings,70
Brandy Newton Dds,71
Christopher Brown Dvm,72
Lisa Chandler,73
Tracey Ball,74
James Phillips,75
Amanda Lambert,76
Robert Guzman,77
Morgan Boyd,78
Jason Callahan,79
Deborah Hill,80
Dan Adkins,81
Aaron Price,82
Dr. Stephanie Beck Md,83
Alec Castro,84
Jennifer Martin,85
Mr. Christopher Gamble,86
Michael Miller,87
Amy Garcia,88
Rachel Estrada,89
Stacey Clay,90
Dana Mcclure,91
Kelli Barrett,92
Brian Sharp,93
Brianna Allen,94
Ashley Mcintyre,95
Richard Preston,96
Thomas Garcia,97
Timothy Clements,98
Erin Martin,99
Nicole Wagner,100
Cynthia Baker,3
Alicia Lloyd,31
Tammie Waller,34
Andrea Murray,5
Paula Hubbard,33
Linda Goodwin,4
Dr. Deanna Fleming,88
William Merritt,99
Charles Reed,35
Kyle Calhoun,34
Traci Wallace,85
Michael Phillips,71
Yolanda Boyd,24
Brian Castro,8
Elizabeth Ortiz,11
Kevin Anderson,32
Brenda Patterson,45
Derrick Lambert,14
Ryan Davis,30
Karla Ashley,53
Peter Smith,26
Ralph Taylor,24
Tara Stone,82
Richard Smith,38
Heather Hooper,35
Cynthia Porter,74
Judy Lopez,39
Joseph Sanchez,64
Ashley Ray,93
Wanda Anderson,99
Charles Mcintyre,29
Sarah Saunders,96
Bradley Harrell,96
Carol Flynn,4
Christopher Craig,19
Stephanie Turner,61
William Miller,35
Samantha Fitzpatrick,10
Gina Martin,37
Stephen Blake,24
Melissa Thomas,34
Robert Mcclure,26
Rebekah Brown,0
Christopher Hall,87
Julie Wong,2
Lindsay Leon,13
Mckenzie Peters,11
Steven Gaines Md,92
Steven Douglas,8
Robert Landry,73
Brittany Mcgee,16
Virginia Hoover,82
Mary Christian,24
Keith Garrison Phd,31
Maria Carter,82
Nicholas Rivera,0
Mrs. Melissa Grimes,72
Ricardo Jacobson,98
Craig Brooks,32
Lance Turner,40
Lauren Cain,52
Aaron Michael,20
Joseph Burke,68
Molly Anthony,45
Travis Palmer,55
Matthew Hobbs,23
Diana Nichols,64
Emma Johnson,19
Jessica Lewis,88
Lori Pugh,68
Brent Walls,95
Jessica Payne,81
Martin Brooks,6
Antonio Cannon,41
Brandy Murray,8
Andrea Kim,94
Christy Porter,61
Jacob Butler,93
Lonnie Case,77
Patrick Juarez,94
Travis Villa,39
Michelle Herring,48
Sharon Murray,73
Lisa Jones,15
Christopher Ewing,61
Paul Rogers,11
Brian Bean,1
Shannon Johnson,18
Marissa Hall,45
Mr. David Howard Phd,77
Miguel Fox,95
Adam Williams,50
Isabel Chavez,36
Karen Rocha,99
Heather Hall,39
Colleen Richardson,29
Nicole Jennings Md,92
Sara Blackburn,30
Richard Colon,19
Jonathan Washington,94
